Deliverable type,Priority,Production Pipeline,Project Type,Task Count
0,1,0,0,96
0,3,0,0,17
0,1,19,0,120
0,1,19,2,128
0,1,19,2,20
0,1,19,0,7
0,1,19,2,25
0,1,19,2,28
0,1,19,0,1
0,1,19,2,44
0,1,19,2,80
0,1,0,0,5
0,1,0,0,9
0,3,0,0,8
0,1,0,0,7
0,3,0,0,6
0,3,0,0,5
0,3,0,0,11
0,4,0,0,17
0,4,0,0,19
0,4,0,0,7
0,3,0,0,61
0,5,0,0,1
0,1,0,0,5
1205,1,19,3,42
1205,1,19,3,101
1205,1,19,3,197
0,2,29,0,59
1205,1,19,3,26
0,1,6,0,15
0,5,13,2,5
1205,1,19,3,48
1205,1,19,3,9
1205,1,19,3,113
0,2,28,0,6
0,2,17,0,6
0,3,0,0,5
0,2,11,0,7
0,3,0,0,3
0,2,11,0,6
0,2,0,0,11
0,3,0,0,1
0,3,0,0,4
0,3,21,0,8
0,3,28,2,7
0,3,0,0,27
0,4,0,0,4
0,4,0,0,7
0,3,0,0,15
0,4,15,0,4
0,4,0,0,4
0,4,0,0,4
0,4,0,0,8
0,4,0,0,5
0,3,0,0,4
0,3,0,0,4
0,3,0,0,8
0,3,0,0,4
0,3,0,0,23
0,3,0,0,6
0,2,6,0,5
0,1,0,0,10
0,3,0,0,8
0,3,0,0,4
0,2,16,0,5
0,2,30,2,6
0,2,21,2,10
0,2,0,0,3
0,3,0,0,15
0,3,0,0,26
0,3,0,0,4
0,5,6,0,10
0,1,22,2,7
0,3,0,0,10
0,3,0,0,31
0,3,0,0,73
0,5,0,0,6
0,1,19,0,75
0,2,0,0,1
0,5,13,2,2
0,2,27,0,62
0,3,0,0,4
0,3,0,0,5
0,3,0,0,4
0,5,0,0,9
0,2,0,0,7
0,1,0,0,11
0,3,28,0,8
0,4,0,0,4
0,4,0,0,4
0,1,5,0,15
0,3,0,0,6
0,4,0,0,4
0,5,0,0,1
0,3,0,0,58
0,2,0,0,7
0,3,28,0,89
0,3,29,0,15
0,3,21,2,32
0,3,13,2,5
0,3,0,0,37
0,4,0,0,4
0,4,0,0,8
0,3,0,0,1
0,3,6,0,4
0,4,0,0,5
0,3,0,0,21
0,3,29,2,4
0,4,0,0,7
0,4,0,0,14
0,3,21,2,3
0,3,0,0,7
0,3,0,0,4
0,3,0,0,5
0,3,0,0,13
0,3,0,0,1
0,3,30,2,4
0,3,22,0,6
0,2,0,0,4
0,3,0,0,18
0,2,29,2,15
0,2,0,0,6
0,5,0,0,1
0,3,0,0,4
0,3,0,0,1
0,3,0,0,1
0,3,0,0,7
0,3,25,0,9
0,3,22,0,9
0,2,0,2,5
0,3,0,0,1
0,3,11,0,1
0,3,0,0,4
0,5,0,0,1
0,2,0,0,1
0,3,0,0,6
0,3,0,0,38
0,3,0,0,27
0,3,0,0,7
0,3,0,0,44
0,3,0,0,5
0,3,29,0,17
0,5,29,0,1
0,5,0,0,1
0,4,0,0,34
0,3,0,0,29
0,5,0,0,1
0,2,28,2,1
0,5,19,0,1
0,5,17,2,4
0,2,11,0,13
0,3,0,0,3
0,1,19,0,11
0,1,0,0,8
0,2,26,0,10
1001,1,19,1,27
0,3,0,0,1
0,2,0,0,3
0,2,0,0,11
0,5,0,0,1
0,2,0,0,8
0,2,24,0,25
0,1,29,0,36
0,2,0,0,4
0,1,29,0,10
0,2,17,0,4
0,3,9,0,1
0,3,14,0,1
0,3,0,0,4
0,1,0,0,23
0,3,14,2,6
2005,4,21,2,32
0,3,0,0,4
0,3,11,2,18
0,3,0,0,59
0,3,0,0,36
0,3,0,0,72
0,3,20,0,22
0,2,30,0,5
0,3,14,2,5
0,2,14,0,12
0,3,21,2,4
0,3,17,0,12
0,3,29,2,8
0,4,0,0,4
0,2,29,0,27
0,3,5,0,11
0,2,16,0,12
0,2,27,2,36
0,3,0,0,6
0,2,18,2,62
0,1,29,2,4
0,3,0,0,1
0,3,0,0,1
0,2,13,0,271
0,3,29,2,13
0,3,26,0,42
0,3,29,0,1
0,2,30,2,9
0,3,29,0,1
0,2,29,0,58
1306,1,30,2,180
0,1,30,2,679
0,2,21,0,15
0,1,0,0,7
0,3,0,0,11
0,3,29,2,4
0,2,0,0,3
0,3,0,0,24
0,2,29,2,4
0,4,17,0,8
0,5,8,0,1
0,2,14,0,5
0,3,14,0,7
0,3,21,0,5
0,1,14,0,16
0,2,8,2,93
0,2,21,0,9
0,3,16,0,1
0,3,0,0,7
0,3,16,0,1
0,3,0,0,23
0,2,8,0,3
0,3,29,0,4
0,4,0,0,6
0,3,14,0,1
0,3,17,0,1
0,2,16,0,1
0,3,16,0,1
0,4,0,0,5
0,1,14,2,15
0,2,13,2,31
0,1,17,0,1
0,2,13,0,8
0,2,13,2,17
0,3,17,0,1
0,3,29,2,4
0,4,29,2,4
0,2,29,2,4
0,2,16,2,35
0,3,30,2,18
0,1,6,2,17
0,3,0,0,4
0,3,30,0,1
0,3,30,0,9
0,3,0,0,1
0,5,0,0,1
0,3,17,2,1886
0,3,0,0,7
0,3,9,0,1
0,3,0,0,53
1702,3,28,4,16
0,5,24,0,16
0,3,17,2,98
0,1,14,2,53
0,5,0,0,1
0,5,0,0,3
0,3,25,0,7
0,3,0,0,5
0,4,17,2,2
0,1,0,2,20
0,1,0,2,50
0,1,0,0,7
0,3,0,0,8
0,1,19,2,8
0,5,29,0,1
0,3,0,0,14
0,4,0,0,1
0,3,0,0,8
0,3,0,0,6
0,3,7,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,2,0,0,1
0,3,0,0,1
0,4,0,0,15
0,3,25,0,4
0,2,27,2,31
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,4,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
